rho,N,E0,error_vs_ref,relative_error
0.0000000000000000e+00,2,9.6102795114447559e-16,1.2493363364878134e-14,1.0833333333333337e+00
0.0000000000000000e+00,3,1.6017132519074597e-15,1.3134048665641117e-14,1.1388888888888895e+00
0.0000000000000000e+00,4,-2.2423985526704407e-15,9.2899368610632167e-15,8.0555555555555491e-01
0.0000000000000000e+00,5,5.2856537312946236e-15,1.6817989145028282e-14,1.4583333333333359e+00
0.0000000000000000e+00,6,-5.7661677068668401e-15,5.7661677068668180e-15,4.9999999999999906e-01
0.0000000000000000e+00,7,4.0042831297686530e-15,1.5536618543502311e-14,1.3472222222222241e+00
0.0000000000000000e+00,8,-9.9306221618262099e-15,1.6017132519074483e-15,1.3888888888888851e-01
0.0000000000000000e+00,9,-6.7271956580113118e-15,4.8051397557223464e-15,4.1666666666666569e-01
0.0000000000000000e+00,10,-1.3454391316022592e-14,1.9220559022889338e-15,1.6666666666666588e-01
0.0000000000000000e+00,12,-4.1644544549593871e-15,7.3678809587742718e-15,6.3888888888888806e-01
0.0000000000000000e+00,15,-1.4095076616785569e-14,2.5627412030519112e-15,2.2222222222222110e-01
0.0000000000000000e+00,20,2.2904499502276842e-14,3.4436834916010501e-14,2.9861111111111347e+00
0.0000000000000000e+00,30,-1.6017132519074498e-14,4.4847971053408403e-15,3.8888888888888656e-01
0.0000000000000000e+00,40,-1.1532335413733658e-14,0.0000000000000000e+00,0.0000000000000000e+00
1.0000000000000001e-01,2,8.6079115509389320e-02,9.7035059233144261e-04,1.1401300362860285e-02
1.0000000000000001e-01,3,8.5112141141392053e-02,3.3762243341756148e-06,3.9669525664787749e-05
1.0000000000000001e-01,4,8.5110325761168198e-02,1.5608441103209802e-06,1.8339405017122378e-05
1.0000000000000001e-01,5,8.5108478360046300e-02,2.8655701157787039e-07,3.3669506525812288e-06
1.0000000000000001e-01,6,8.5108825682873979e-02,6.0765816101149284e-08,7.1397835652259986e-07
1.0000000000000001e-01,7,8.5108759857885963e-02,5.0591719147341507e-09,5.9443606303822287e-08
1.0000000000000001e-01,8,8.5108761569372415e-02,3.3476854621738994e-09,3.9334203303694533e-08
1.0000000000000001e-01,9,8.5108767137335284e-02,2.2202774063728725e-09,2.6087529392967076e-08
1.0000000000000001e-01,10,8.5108764107269252e-02,8.0978862504466065e-10,9.5147500475871572e-09
1.0000000000000001e-01,12,8.5108764906391604e-02,1.0666273420056882e-11,1.2532520511197196e-10
1.0000000000000001e-01,15,8.5108764910594700e-02,6.4631772156431566e-12,7.5940206886350639e-11
1.0000000000000001e-01,20,8.5108764917001978e-02,5.5899729289876632e-14,6.5680343668896269e-13
1.0000000000000001e-01,30,8.5108764917055324e-02,2.5535129566378600e-15,3.0002937525017161e-14
1.0000000000000001e-01,40,8.5108764917057877e-02,0.0000000000000000e+00,0.0000000000000000e+00
2.0000000000000001e-01,2,1.6868151564087994e-01,4.8596547590834815e-03,2.9664262955661960e-02
2.0000000000000001e-01,3,1.6403805134707605e-01,2.1619046527959762e-04,1.3196679864086458e-03
2.0000000000000001e-01,4,1.6383107135600997e-01,9.2104742135112883e-06,5.6222497803006808e-05
2.0000000000000001e-01,5,1.6382191524582995e-01,5.4364033497122932e-08,3.3184846762513948e-07
2.0000000000000001e-01,6,1.6382190506359984e-01,4.4181803382503659e-08,2.6969418577403699e-07
2.0000000000000001e-01,7,1.6382186586858488e-01,4.9867884266419082e-09,3.0440311200225350e-08
2.0000000000000001e-01,8,1.6382185564496463e-01,5.2368318292916882e-09,3.1966623996966170e-08
2.0000000000000001e-01,9,1.6382186285236089e-01,1.9705644338507966e-09,1.2028702538500841e-08
2.0000000000000001e-01,10,1.6382186044602451e-01,4.3577194630550764e-10,2.6600353820906311e-09
2.0000000000000001e-01,12,1.6382186092589618e-01,4.4099723872648156e-11,2.6919315673301832e-10
2.0000000000000001e-01,15,1.6382186087876011e-01,3.0363489500473406e-12,1.8534455253430303e-11
2.0000000000000001e-01,20,1.6382186088174441e-01,5.2041704279304213e-14,3.1767252550533677e-13
2.0000000000000001e-01,30,1.6382186088178460e-01,1.1851630787873546e-14,7.2344623141748692e-14
2.0000000000000001e-01,40,1.6382186088179646e-01,0.0000000000000000e+00,0.0000000000000000e+00
2.9999999999999999e-01,2,2.4749341768155195e-01,1.0694389967910084e-02,4.5162305230588520e-02
2.9999999999999999e-01,3,2.3762392599072168e-01,8.2489827707982188e-04,3.4835374327523050e-03
2.9999999999999999e-01,4,2.3685600094086065e-01,5.6973227218787281e-05,2.4059738660618278e-04
2.9999999999999999e-01,5,2.3680223815178544e-01,3.2104381435804630e-06,1.3557649178622499e-05
2.9999999999999999e-01,6,2.3679921549117777e-01,1.8777753590937252e-07,7.9298271501540779e-07
2.9999999999999999e-01,7,2.3679904485281578e-01,1.7139173913438555e-08,7.2378565397509769e-08
2.9999999999999999e-01,8,2.3679902418186316e-01,3.5317787028255054e-09,1.4914667247267762e-08
2.9999999999999999e-01,9,2.3679902866240901e-01,9.4876714817893060e-10,4.0066344754010689e-09
2.9999999999999999e-01,10,2.3679902764707467e-01,6.6567196199684986e-11,2.8111262466915142e-10
2.9999999999999999e-01,12,2.3679902775340997e-01,3.9768105475346260e-11,1.6794032416145449e-10
2.9999999999999999e-01,15,2.3679902771343575e-01,2.0611290452166031e-13,8.7041279903779884e-13
2.9999999999999999e-01,20,2.3679902771363620e-01,5.6621374255882984e-15,2.3911151495247908e-14
2.9999999999999999e-01,30,2.3679902771363753e-01,4.3298697960381105e-15,1.8284998202248400e-14
2.9999999999999999e-01,40,2.3679902771364186e-01,0.0000000000000000e+00,0.0000000000000000e+00
4.0000000000000002e-01,2,3.2241964397292355e-01,1.7816791227838136e-02,5.8491872506356880e-02
4.0000000000000002e-01,3,3.0648225979779620e-01,1.8794070527107798e-03,6.1700244622581030e-03
4.0000000000000002e-01,4,3.0478464867853139e-01,1.8179593344597178e-04,5.9682938556754848e-04
4.0000000000000002e-01,5,3.0461845746376509e-01,1.5604718679673724e-05,5.1229719416754529e-05
4.0000000000000002e-01,6,3.0460406465777673e-01,1.2119126913123779e-06,3.9786649415479951e-06
4.0000000000000002e-01,7,3.0460294517871606e-01,9.2433630638488751e-08,3.0345622112687224e-07
4.0000000000000002e-01,8,3.0460285635154061e-01,3.6064551900416575e-09,1.1839860190212369e-08
4.0000000000000002e-01,9,3.0460285330375042e-01,5.5866500314749601e-10,1.8340767268356115e-09
4.0000000000000002e-01,10,3.0460285281582716e-01,7.0741745794578037e-11,2.3224255832488887e-10
4.0000000000000002e-01,12,3.0460285276369359e-01,1.8608170559986092e-11,6.1089941844894043e-11
4.0000000000000002e-01,15,3.0460285274548465e-01,3.9923619965520629e-13,1.3106778090135524e-12
4.0000000000000002e-01,20,3.0460285274508386e-01,1.5543122344752192e-15,5.1027500907090474e-15
4.0000000000000002e-01,30,3.0460285274507992e-01,5.4956039718945249e-15,1.8041866392149846e-14
4.0000000000000002e-01,40,3.0460285274508542e-01,0.0000000000000000e+00,0.0000000000000000e+00
5.0000000000000000e-01,2,3.9349295048719513e-01,2.5773500129430971e-02,7.0090119259003672e-02
5.0000000000000000e-01,3,3.7108158565134364e-01,3.3621352935794824e-03,9.1432076554785729e-03
5.0000000000000000e-01,4,3.6812959662349254e-01,4.1014626572838386e-04,1.1153782192629231e-03
5.0000000000000000e-01,5,3.6776506062875020e-01,4.5610270986040646e-05,1.2403551387250576e-04
5.0000000000000000e-01,6,3.6772405986688089e-01,4.6095091167375202e-06,1.2535396515612119e-05
5.0000000000000000e-01,7,3.6771987951197843e-01,4.2915421427647260e-07,1.1670696610117765e-06
5.0000000000000000e-01,8,3.6771948570029661e-01,3.5342532456184017e-08,9.6112763199766337e-08
5.0000000000000000e-01,9,3.6771945313281318e-01,2.7750490239064618e-09,7.5466473726275345e-09
5.0000000000000000e-01,10,3.6771945059948269e-01,2.4171853407750632e-10,6.5734497819555604e-10
5.0000000000000000e-01,12,3.6771945036380493e-01,6.0407789881367080e-12,1.6427684155024900e-11
5.0000000000000000e-01,15,3.6771945035799414e-01,2.2998269955110118e-13,6.2542979254250712e-13
5.0000000000000000e-01,20,3.6771945035777220e-01,8.0491169285323849e-15,2.1889287935955473e-14
5.0000000000000000e-01,30,3.6771945035776121e-01,2.9420910152566648e-15,8.0009121421078636e-15
5.0000000000000000e-01,40,3.6771945035776415e-01,0.0000000000000000e+00,0.0000000000000000e+00
5.9999999999999998e-01,2,4.6082054014031065e-01,3.4247122688400744e-02,8.0284240150200220e-02
5.9999999999999998e-01,3,4.3179831394522222e-01,5.2248964933123143e-03,1.2248528106891112e-02
5.9999999999999998e-01,4,4.2732938251285141e-01,7.5596506094149918e-04,1.7721804266594354e-03
5.9999999999999998e-01,5,4.2667460463581364e-01,1.0118718390372816e-04,2.3720930504333542e-04
5.9999999999999998e-01,6,4.2658585111936792e-01,1.2433667458011666e-05,2.9147778434677978e-05
5.9999999999999998e-01,7,4.2657482119704654e-01,1.4037451366299969e-06,3.2907468660731752e-06
5.9999999999999998e-01,8,4.2657356282763603e-01,1.4537572612383087e-07,3.4079884065963846e-07
5.9999999999999998e-01,9,4.2657343133431330e-01,1.3882403393505882e-08,3.2543995536409453e-08
5.9999999999999998e-01,10,4.2657341869461585e-01,1.2427059381536765e-09,2.9132287369823600e-09
5.9999999999999998e-01,12,4.2657341746031102e-01,8.4011131384897908e-12,1.9694413188409465e-11
5.9999999999999998e-01,15,4.2657341745194799e-01,3.8080649744642869e-14,8.9271033277491849e-14
5.9999999999999998e-01,20,4.2657341745190991e-01,0.0000000000000000e+00,0.0000000000000000e+00
5.9999999999999998e-01,30,4.2657341745190169e-01,8.2156503822261584e-15,1.9259639832461797e-14
5.9999999999999998e-01,40,4.2657341745190991e-01,0.0000000000000000e+00,0.0000000000000000e+00
6.9999999999999996e-01,2,5.2455174703718643e-01,4.3012840474287717e-02,8.9323707571839508e-02
6.9999999999999996e-01,3,4.8894732942371377e-01,7.4084228608150560e-03,1.5384889486281554e-02
6.9999999999999996e-01,4,4.8276150910301718e-01,1.2226025401184670e-03,2.5389486154817490e-03
6.9999999999999996e-01,5,4.8172740279308113e-01,1.8849623018241113e-04,3.9144548366371658e-04
6.9999999999999996e-01,6,4.8156580449680214e-01,2.6897933903424764e-05,5.5858277569750949e-05
6.9999999999999996e-01,7,4.8154245018885983e-01,3.5436259611110188e-06,7.3589608499228288e-06
6.9999999999999996e-01,8,4.8153933779861269e-01,4.3123571397130078e-07,8.9553659755003135e-07
6.9999999999999996e-01,9,4.8153895514686806e-01,4.8583969347593126e-08,1.0089313383704142e-07
6.9999999999999996e-01,10,4.8153891164142182e-01,5.0785231020533672e-09,1.0546443979579061e-08
6.9999999999999996e-01,12,4.8153890660796278e-01,4.5064063591837566e-11,9.3583432153994165e-11
6.9999999999999996e-01,15,4.8153890656290071e-01,1.9984014443252818e-15,4.1500311129361465e-15
6.9999999999999996e-01,20,4.8153890656290721e-01,8.4932061383824475e-15,1.7637632229978625e-14
6.9999999999999996e-01,30,4.8153890656288889e-01,9.8254737679326354e-15,2.0404319638602721e-14
6.9999999999999996e-01,40,4.8153890656289872e-01,0.0000000000000000e+00,0.0000000000000000e+00
8.0000000000000004e-01,2,5.8485815102288596e-01,5.1910146920917444e-02,9.7401897598598602e-02
8.0000000000000004e-01,3,5.4280045564268453e-01,9.8524515407160118e-03,1.8486703139676174e-02
8.0000000000000004e-01,4,5.3475371107492331e-01,1.8057069729547903e-03,3.3881484855121172e-03
8.0000000000000004e-01,5,5.3325939528870425e-01,3.1139118673573218e-04,5.8428061337885027e-04
8.0000000000000004e-01,6,5.3299801900299504e-01,5.0014901026518288e-05,9.3845742251713130e-05
8.0000000000000004e-01,7,5.3295545830644864e-01,7.4542044801173546e-06,1.3986738711364322e-05
8.0000000000000004e-01,8,5.3294903468402544e-01,1.0305820569156410e-06,1.9337384678871235e-06
8.0000000000000004e-01,9,5.3294813647549688e-01,1.3237352836092953e-07,2.4837981818504491e-07
8.0000000000000004e-01,10,5.3294801992526930e-01,1.5823300780759553e-08,2.9690139861621648e-08
8.0000000000000004e-01,12,5.3294800428687439e-01,1.8490586839448042e-10,3.4694917134749702e-10
8.0000000000000004e-01,15,5.3294800410208831e-01,1.1979306435705439e-13,2.2477439343995456e-13
8.0000000000000004e-01,20,5.3294800410196619e-01,2.3314683517128287e-15,4.3746638204254367e-15
8.0000000000000004e-01,30,5.3294800410195553e-01,1.2989609388114332e-14,2.4373126999513146e-14
8.0000000000000004e-01,40,5.3294800410196852e-01,0.0000000000000000e+00,0.0000000000000000e+00
9.0000000000000002e-01,2,6.4192118837116230e-01,6.0823988380272587e-02,1.0467093694691038e-01
9.0000000000000002e-01,3,5.9359786265512526e-01,1.2500662664235551e-02,2.1512171568597360e-02
9.0000000000000002e-01,4,5.8359311819089787e-01,2.4959182000081626e-03,4.2951819421041659e-03
9.0000000000000002e-01,5,5.8156867081428831e-01,4.7147082339860091e-04,8.1134588741090560e-04
9.0000000000000002e-01,6,5.8118055940791291e-01,8.3359417023198823e-05,1.4345176164074738e-04
9.0000000000000002e-01,7,5.8111093516645185e-01,1.3735175562135105e-05,2.3636623205808670e-05
9.0000000000000002e-01,8,5.8109930691538747e-01,2.1069244977578450e-06,3.6257694888064799e-06
9.0000000000000002e-01,9,5.8109750113335112e-01,3.0114246141188517e-07,5.1823079067771515e-07
9.0000000000000002e-01,10,5.8109724016394970e-01,4.0173059989712101e-08,6.9133115751275219e-08
9.0000000000000002e-01,12,5.8109720057832637e-01,5.8743665487526187e-10,1.0109094569453639e-09
9.0000000000000002e-01,15,5.8109719999153620e-01,6.4648286723922865e-13,1.1125210502638183e-12
9.0000000000000002e-01,20,5.8109719999089193e-01,2.2204460492503131e-15,3.8211267397005607e-15
9.0000000000000002e-01,30,5.8109719999087517e-01,1.4543921622589551e-14,2.5028380145038672e-14
9.0000000000000002e-01,40,5.8109719999088971e-01,0.0000000000000000e+00,0.0000000000000000e+00
1.0000000000000000e+00,2,6.9592438948099855e-01,6.9671908741944399e-02,1.1125210819080998e-01
1.0000000000000000e+00,3,6.4155529934822697e-01,1.5302818609172819e-02,2.4435541702148039e-02
1.0000000000000000e+00,4,6.2953349784258739e-01,3.2810171035332347e-03,5.2391283139688891e-03
1.0000000000000000e+00,5,6.2692089680079488e-01,6.6841606174072865e-04,1.0673268087527834e-03
1.0000000000000000e+00,6,6.2638044097407830e-01,1.2796023502414933e-04,2.0432691120543056e-04
1.0000000000000000e+00,7,6.2627539105018826e-01,2.2910311134105577e-05,3.6583186236753299e-05
1.0000000000000000e+00,8,6.2625631129443626e-01,3.8305553821116334e-06,6.1166310712112659e-06
1.0000000000000000e+00,9,6.2625307904300598e-01,5.9830395182647322e-07,9.5537178730278509e-07
1.0000000000000000e+00,10,6.2625256816423736e-01,8.7425183203926338e-08,1.3960053795037104e-07
1.0000000000000000e+00,12,6.2625248228045238e-01,1.5413982312750818e-09,2.4613047910900795e-09
1.0000000000000000e+00,15,6.2625248074136608e-01,2.3119284264794260e-12,3.6916874544769371e-12
1.0000000000000000e+00,20,6.2625248073906203e-01,7.8825834748386114e-15,1.2586909780439038e-14
1.0000000000000000e+00,30,6.2625248073904705e-01,7.1054273576010019e-15,1.1345946844339414e-14
1.0000000000000000e+00,40,6.2625248073905415e-01,0.0000000000000000e+00,0.0000000000000000e+00
